Inference for Stan model: Hier_model_TP_new_updated.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                 mean se_mean   sd   2.5%    25%    50%    75%  97.5%
f[75]           2820    1
f[76]           3559    1
f[77]           2871    1
f[78]           2672    1
f[79]           3190    1
f[80]           2512    1
f[81]           2325    1
f[82]           3171    1
f[83]           2001    1
y_predict[1]    4354    1
y_predict[2]    4121    1
y_predict[3]    4257    1
y_predict[4]    4023    1
y_predict[5]    3884    1
y_predict[6]    3805    1
y_predict[7]    3915    1
y_predict[8]    3874    1
y_predict[9]    3859    1
y_predict[10]   3934    1
y_predict[11]   3277    1
y_predict[12]   3838    1
y_predict[13]   3910    1
y_predict[14]   3952    1
y_predict[15]   3791    1
y_predict[16]   3721    1
y_predict[17]   3893    1
y_predict[18]   3864    1
y_predict[19]   4055    1
y_predict[20]   3740    1
y_predict[21]   3890    1
y_predict[22]   3821    1
y_predict[23]   3707    1
y_predict[24]   3865    1
y_predict[25]   3812    1
y_predict[26]   3538    1
y_predict[27]   3827    1
y_predict[28]   3616    1
y_predict[29]   3632    1
y_predict[30]   4165    1
y_predict[31]   3957    1
y_predict[32]   4189    1
y_predict[33]   4050    1
y_predict[34]   3749    1
y_predict[35]   4022    1
y_predict[36]   3949    1
y_predict[37]   3665    1
y_predict[38]   4071    1
y_predict[39]   3885    1
y_predict[40]   3853    1
y_predict[41]   3885    1
y_predict[42]   3763    1
y_predict[43]   3750    1
y_predict[44]   3885    1
y_predict[45]   3831    1
y_predict[46]   4158    1
y_predict[47]   3828    1
y_predict[48]   3765    1
y_predict[49]   3953    1
y_predict[50]   3761    1
y_predict[51]   3628    1
y_predict[52]   3762    1
y_predict[53]   3217    1
y_predict[54]   3556    1
y_predict[55]   3788    1
y_predict[56]   3809    1
y_predict[57]   3975    1
y_predict[58]   3747    1
y_predict[59]   3832    1
y_predict[60]   3724    1
y_predict[61]   3282    1
y_predict[62]   3999    1
y_predict[63]   3714    1
y_predict[64]   3899    1
y_predict[65]   4106    1
y_predict[66]   3987    1
y_predict[67]   3901    1
y_predict[68]   3724    1
f_invlogit[1]   3866    1
f_invlogit[2]   2232    1
f_invlogit[3]   3757    1
f_invlogit[4]   2917    1
f_invlogit[5]   2430    1
f_invlogit[6]   3302    1
f_invlogit[7]   3367    1
f_invlogit[8]   3036    1
f_invlogit[9]   4131    1
f_invlogit[10]  3394    1
f_invlogit[11]  3255    1
f_invlogit[12]  3718    1
f_invlogit[13]  2701    1
f_invlogit[14]  2407    1
f_invlogit[15]  2657    1
f_invlogit[16]  2304    1
f_invlogit[17]  2719    1
f_invlogit[18]  3233    1
f_invlogit[19]  3154    1
f_invlogit[20]  3551    1
f_invlogit[21]  2843    1
f_invlogit[22]  3226    1
f_invlogit[23]  3574    1
f_invlogit[24]  2535    1
f_invlogit[25]  2508    1
f_invlogit[26]  2750    1
f_invlogit[27]  2359    1
f_invlogit[28]  2349    1
f_invlogit[29]  2183    1
f_invlogit[30]  2227    1
f_invlogit[31]  2399    1
f_invlogit[32]  2917    1
f_invlogit[33]  3781    1
f_invlogit[34]  3684    1
f_invlogit[35]  3601    1
f_invlogit[36]  2070    1
f_invlogit[37]  2178    1
f_invlogit[38]  2692    1
f_invlogit[39]  2375    1
f_invlogit[40]  2325    1
f_invlogit[41]  2142    1
f_invlogit[42]  2317    1
f_invlogit[43]  2436    1
f_invlogit[44]  3026    1
f_invlogit[45]  2237    1
f_invlogit[46]  3983    1
f_invlogit[47]  3727    1
f_invlogit[48]  2627    1
f_invlogit[49]  2976    1
f_invlogit[50]  2541    1
f_invlogit[51]  2658    1
f_invlogit[52]  3281    1
f_invlogit[53]  2547    1
f_invlogit[54]  3408    1
f_invlogit[55]  3439    1
f_invlogit[56]  3154    1
f_invlogit[57]  3803    1
f_invlogit[58]  3596    1
f_invlogit[59]  3094    1
f_invlogit[60]  2404    1
f_invlogit[61]  2919    1
f_invlogit[62]  2927    1
f_invlogit[63]  3590    1
f_invlogit[64]  3375    1
f_invlogit[65]  3457    1
f_invlogit[66]  3287    1
f_invlogit[67]  3247    1
f_invlogit[68]  2220    1
log_lik[1]      3881    1
log_lik[2]      2247    1
log_lik[3]      3759    1
log_lik[4]      2918    1
log_lik[5]      2460    1
log_lik[6]      3316    1
log_lik[7]      3357    1
log_lik[8]      3045    1
log_lik[9]      4132    1
log_lik[10]     3396    1
log_lik[11]     3284    1
log_lik[12]     3716    1
log_lik[13]     2697    1
log_lik[14]     2437    1
log_lik[15]     2705    1
log_lik[16]     2309    1
log_lik[17]     2705    1
log_lik[18]     3240    1
log_lik[19]     3136    1
log_lik[20]     3551    1
log_lik[21]     2837    1
log_lik[22]     3225    1
log_lik[23]     3577    1
log_lik[24]     2575    1
log_lik[25]     2537    1
log_lik[26]     2761    1
log_lik[27]     2395    1
log_lik[28]     2373    1
log_lik[29]     2208    1
log_lik[30]     2256    1
log_lik[31]     2413    1
log_lik[32]     2910    1
log_lik[33]     3807    1
log_lik[34]     3671    1
log_lik[35]     3607    1
log_lik[36]     2087    1
log_lik[37]     2172    1
log_lik[38]     2726    1
log_lik[39]     2405    1
log_lik[40]     2309    1
log_lik[41]     2132    1
log_lik[42]     2344    1
log_lik[43]     2440    1
log_lik[44]     3093    1
log_lik[45]     2248    1
log_lik[46]     3968    1
log_lik[47]     3731    1
log_lik[48]     2640    1
log_lik[49]     2989    1
log_lik[50]     2555    1
log_lik[51]     2677    1
log_lik[52]     3304    1
log_lik[53]     2563    1
log_lik[54]     3419    1
log_lik[55]     3478    1
log_lik[56]     3181    1
log_lik[57]     3803    1
log_lik[58]     3596    1
log_lik[59]     3091    1
log_lik[60]     2440    1
log_lik[61]     2898    1
log_lik[62]     2947    1
log_lik[63]     3603    1
log_lik[64]     3392    1
log_lik[65]     3455    1
log_lik[66]     3282    1
log_lik[67]     3238    1
log_lik[68]     2234    1
log_y_new[1]    2242    1
log_y_new[2]    2226    1
log_y_new[3]    2768    1
log_y_new[4]    3551    1
log_y_new[5]    2368    1
log_y_new[6]    3014    1
log_y_new[7]    2160    1
log_y_new[8]    2841    1
log_y_new[9]    2253    1
log_y_new[10]   3291    1
log_y_new[11]   2828    1
log_y_new[12]   2648    1
log_y_new[13]   2836    1
log_y_new[14]   2760    1
log_y_new[15]   2472    1
lp__            1026    1

Samples were drawn using NUTS(diag_e) at Sun Dec  4 15:37:26 2022.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
