Inference for Stan model: Hier_model_TP_new.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                 mean se_mean   sd   2.5%    25%    50%    75%  97.5%
f[77]           2132    1
f[78]           2432    1
f[79]           2745    1
f[80]           2000    1
f[81]           1793    1
f[82]           2356    1
f[83]           1817    1
y_predict[1]    3676    1
y_predict[2]    3824    1
y_predict[3]    4015    1
y_predict[4]    4126    1
y_predict[5]    3779    1
y_predict[6]    4171    1
y_predict[7]    3471    1
y_predict[8]    3970    1
y_predict[9]    3767    1
y_predict[10]   3902    1
y_predict[11]   3942    1
y_predict[12]   4087    1
y_predict[13]   3974    1
y_predict[14]   3878    1
y_predict[15]   4131    1
y_predict[16]   3735    1
y_predict[17]   4078    1
y_predict[18]   4071    1
y_predict[19]   3968    1
y_predict[20]   4081    1
y_predict[21]   3560    1
y_predict[22]   4024    1
y_predict[23]   3899    1
y_predict[24]   4185    1
y_predict[25]   4028    1
y_predict[26]   3829    1
y_predict[27]   4127    1
y_predict[28]   4076    1
y_predict[29]   4247    1
y_predict[30]   3970    1
y_predict[31]   3937    1
y_predict[32]   3864    1
y_predict[33]   3981    1
y_predict[34]   4137    1
y_predict[35]   4005    1
y_predict[36]   3921    1
y_predict[37]   4210    1
y_predict[38]   3860    1
y_predict[39]   3467    1
y_predict[40]   3791    1
y_predict[41]   3992    1
y_predict[42]   3752    1
y_predict[43]   4048    1
y_predict[44]   3953    1
y_predict[45]   3990    1
y_predict[46]   3836    1
y_predict[47]   3674    1
y_predict[48]   3777    1
y_predict[49]   3775    1
y_predict[50]   3551    1
y_predict[51]   3842    1
y_predict[52]   4242    1
y_predict[53]   3895    1
y_predict[54]   4010    1
y_predict[55]   3113    1
y_predict[56]   3910    1
y_predict[57]   3806    1
y_predict[58]   4019    1
y_predict[59]   3572    1
y_predict[60]   3845    1
y_predict[61]   3816    1
y_predict[62]   4062    1
y_predict[63]   3981    1
y_predict[64]   3418    1
y_predict[65]   4000    1
y_predict[66]   3625    1
y_predict[67]   3938    1
y_predict[68]   3915    1
f_invlogit[1]   2893    1
f_invlogit[2]   1514    1
f_invlogit[3]   2972    1
f_invlogit[4]   2614    1
f_invlogit[5]   2261    1
f_invlogit[6]   3312    1
f_invlogit[7]   2381    1
f_invlogit[8]   3063    1
f_invlogit[9]   2971    1
f_invlogit[10]  2794    1
f_invlogit[11]  2509    1
f_invlogit[12]  3044    1
f_invlogit[13]  2024    1
f_invlogit[14]  3000    1
f_invlogit[15]  2723    1
f_invlogit[16]  2077    1
f_invlogit[17]  2364    1
f_invlogit[18]  3317    1
f_invlogit[19]  2787    1
f_invlogit[20]  2928    1
f_invlogit[21]  2874    1
f_invlogit[22]  3396    1
f_invlogit[23]  3289    1
f_invlogit[24]  2470    1
f_invlogit[25]  2229    1
f_invlogit[26]  2147    1
f_invlogit[27]  2660    1
f_invlogit[28]  2147    1
f_invlogit[29]  1744    1
f_invlogit[30]  2258    1
f_invlogit[31]  2992    1
f_invlogit[32]  3297    1
f_invlogit[33]  2971    1
f_invlogit[34]  2804    1
f_invlogit[35]  3233    1
f_invlogit[36]  1512    1
f_invlogit[37]  1477    1
f_invlogit[38]  2654    1
f_invlogit[39]  2122    1
f_invlogit[40]  2982    1
f_invlogit[41]  2209    1
f_invlogit[42]  2660    1
f_invlogit[43]  2214    1
f_invlogit[44]  2897    1
f_invlogit[45]  2028    1
f_invlogit[46]  2657    1
f_invlogit[47]  2578    1
f_invlogit[48]  2247    1
f_invlogit[49]  2567    1
f_invlogit[50]  2204    1
f_invlogit[51]  2195    1
f_invlogit[52]  2758    1
f_invlogit[53]  2138    1
f_invlogit[54]  2907    1
f_invlogit[55]  2671    1
f_invlogit[56]  2449    1
f_invlogit[57]  3097    1
f_invlogit[58]  3063    1
f_invlogit[59]  3328    1
f_invlogit[60]  2341    1
f_invlogit[61]  2658    1
f_invlogit[62]  2468    1
f_invlogit[63]  2811    1
f_invlogit[64]  3323    1
f_invlogit[65]  2804    1
f_invlogit[66]  2397    1
f_invlogit[67]  2360    1
f_invlogit[68]  1553    1
log_lik[1]      2906    1
log_lik[2]      1568    1
log_lik[3]      3008    1
log_lik[4]      2591    1
log_lik[5]      2287    1
log_lik[6]      3322    1
log_lik[7]      2381    1
log_lik[8]      3075    1
log_lik[9]      2953    1
log_lik[10]     2805    1
log_lik[11]     2518    1
log_lik[12]     3040    1
log_lik[13]     2021    1
log_lik[14]     3050    1
log_lik[15]     2752    1
log_lik[16]     2089    1
log_lik[17]     2356    1
log_lik[18]     3362    1
log_lik[19]     2777    1
log_lik[20]     2923    1
log_lik[21]     2901    1
log_lik[22]     3437    1
log_lik[23]     3278    1
log_lik[24]     2488    1
log_lik[25]     2260    1
log_lik[26]     2156    1
log_lik[27]     2699    1
log_lik[28]     2173    1
log_lik[29]     1748    1
log_lik[30]     2295    1
log_lik[31]     2980    1
log_lik[32]     3314    1
log_lik[33]     2954    1
log_lik[34]     2781    1
log_lik[35]     3228    1
log_lik[36]     1540    1
log_lik[37]     1464    1
log_lik[38]     2682    1
log_lik[39]     2174    1
log_lik[40]     2969    1
log_lik[41]     2183    1
log_lik[42]     2713    1
log_lik[43]     2228    1
log_lik[44]     2954    1
log_lik[45]     2046    1
log_lik[46]     2660    1
log_lik[47]     2573    1
log_lik[48]     2265    1
log_lik[49]     2579    1
log_lik[50]     2221    1
log_lik[51]     2207    1
log_lik[52]     2770    1
log_lik[53]     2149    1
log_lik[54]     2914    1
log_lik[55]     2681    1
log_lik[56]     2458    1
log_lik[57]     3095    1
log_lik[58]     3073    1
log_lik[59]     3388    1
log_lik[60]     2374    1
log_lik[61]     2630    1
log_lik[62]     2486    1
log_lik[63]     2817    1
log_lik[64]     3356    1
log_lik[65]     2820    1
log_lik[66]     2400    1
log_lik[67]     2360    1
log_lik[68]     1578    1
log_y_new[1]    2214    1
log_y_new[2]    3413    1
log_y_new[3]    2464    1
log_y_new[4]    2716    1
log_y_new[5]    2337    1
log_y_new[6]    2990    1
log_y_new[7]    2392    1
log_y_new[8]    2823    1
log_y_new[9]    2513    1
log_y_new[10]   2376    1
log_y_new[11]   2500    1
log_y_new[12]   2218    1
log_y_new[13]   2777    1
log_y_new[14]   2786    1
log_y_new[15]   3241    1
lp__            1026    1

Samples were drawn using NUTS(diag_e) at Sun Dec  4 13:26:59 2022.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
